Unnamed: 0,Region/Country/Area,Year,Series,Value,Latitude,Longitude
259,Afghanistan,2010,"Seats held by women in national parliament, as of February (%)",27.3,33,65
260,Afghanistan,2015,"Seats held by women in national parliament, as of February (%)",27.7,33,65
261,Afghanistan,2018,"Seats held by women in national parliament, as of February (%)",27.7,33,65
262,Afghanistan,2020,"Seats held by women in national parliament, as of February (%)",27,33,65
263,Afghanistan,2021,"Seats held by women in national parliament, as of February (%)",27,33,65
264,Afghanistan,2022,"Seats held by women in national parliament, as of February (%)",27,33,65
265,Albania,2000,"Seats held by women in national parliament, as of February (%)",5.2,41,20
266,Albania,2005,"Seats held by women in national parliament, as of February (%)",6.4,41,20
267,Albania,2010,"Seats held by women in national parliament, as of February (%)",16.4,41,20
268,Albania,2015,"Seats held by women in national parliament, as of February (%)",20.7,41,20
269,Albania,2018,"Seats held by women in national parliament, as of February (%)",27.9,41,20
270,Albania,2020,"Seats held by women in national parliament, as of February (%)",29.5,41,20
271,Albania,2021,"Seats held by women in national parliament, as of February (%)",29.5,41,20
272,Albania,2022,"Seats held by women in national parliament, as of February (%)",35.7,41,20
273,Albania,2023,"Seats held by women in national parliament, as of February (%)",35.7,41,20
274,Algeria,2000,"Seats held by women in national parliament, as of February (%)",3.2,28,3
275,Algeria,2005,"Seats held by women in national parliament, as of February (%)",6.2,28,3
276,Algeria,2010,"Seats held by women in national parliament, as of February (%)",7.7,28,3
277,Algeria,2015,"Seats held by women in national parliament, as of February (%)",31.6,28,3
278,Algeria,2018,"Seats held by women in national parliament, as of February (%)",25.8,28,3
279,Algeria,2020,"Seats held by women in national parliament, as of February (%)",25.8,28,3
280,Algeria,2021,"Seats held by women in national parliament, as of February (%)",26,28,3
281,Algeria,2022,"Seats held by women in national parliament, as of February (%)",8.1,28,3
282,Algeria,2023,"Seats held by women in national parliament, as of February (%)",7.9,28,3
283,Andorra,2000,"Seats held by women in national parliament, as of February (%)",7.1,42.5,1.5
284,Andorra,2005,"Seats held by women in national parliament, as of February (%)",14.3,42.5,1.5
285,Andorra,2010,"Seats held by women in national parliament, as of February (%)",35.7,42.5,1.5
286,Andorra,2015,"Seats held by women in national parliament, as of February (%)",50,42.5,1.5
287,Andorra,2018,"Seats held by women in national parliament, as of February (%)",32.1,42.5,1.5
288,Andorra,2020,"Seats held by women in national parliament, as of February (%)",46.4,42.5,1.5
289,Andorra,2021,"Seats held by women in national parliament, as of February (%)",46.4,42.5,1.5
290,Andorra,2022,"Seats held by women in national parliament, as of February (%)",46.4,42.5,1.5
291,Andorra,2023,"Seats held by women in national parliament, as of February (%)",46.4,42.5,1.5
292,Angola,2000,"Seats held by women in national parliament, as of February (%)",15.5,-12.5,18.5
293,Angola,2005,"Seats held by women in national parliament, as of February (%)",15,-12.5,18.5
294,Angola,2010,"Seats held by women in national parliament, as of February (%)",38.6,-12.5,18.5
295,Angola,2015,"Seats held by women in national parliament, as of February (%)",36.8,-12.5,18.5
296,Angola,2018,"Seats held by women in national parliament, as of February (%)",30.5,-12.5,18.5
297,Angola,2020,"Seats held by women in national parliament, as of February (%)",30,-12.5,18.5
298,Angola,2021,"Seats held by women in national parliament, as of February (%)",29.6,-12.5,18.5
299,Angola,2022,"Seats held by women in national parliament, as of February (%)",29.6,-12.5,18.5
300,Angola,2023,"Seats held by women in national parliament, as of February (%)",33.6,-12.5,18.5
301,Antigua and Barbuda,2000,"Seats held by women in national parliament, as of February (%)",5.3,17.05,-61.8
302,Antigua and Barbuda,2005,"Seats held by women in national parliament, as of February (%)",10.5,17.05,-61.8
303,Antigua and Barbuda,2010,"Seats held by women in national parliament, as of February (%)",10.5,17.05,-61.8
304,Antigua and Barbuda,2015,"Seats held by women in national parliament, as of February (%)",11.1,17.05,-61.8
305,Antigua and Barbuda,2018,"Seats held by women in national parliament, as of February (%)",11.1,17.05,-61.8
